Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2009-04-06,19.01576042175293,19.487782059103722,18.665114894926173,19.06296245687211,72188000
2009-04-07,18.37515640258789,18.91461002104435,18.213320317050954,18.395386395589586,73652600
2009-04-08,18.496530532836914,18.766257294592446,17.876158337719865,18.510017192464353,66538300
2009-04-09,22.083904266357422,22.31317238300774,20.36439467763896,20.526230768305258,147913000
2009-04-13,22.724510192871094,23.027953714909916,21.45004868646716,21.584911473693985,110196200
2009-04-14,20.701553344726562,22.421062918770186,20.66783668894284,22.279456822955282,109541400
2009-04-15,21.95578956604004,22.232259774646142,20.411601111287666,20.647612610042906,108069400
2009-04-16,22.414321899414062,22.93354427449412,21.82092159205665,22.93354427449412,132956000
2009-04-17,22.427806854248047,22.913316449186837,21.93555521374312,22.488495553615394,104962100
2009-04-20,20.020490646362305,21.861376167774274,19.986773993417046,21.429814585504154,109372200
2009-04-21,21.935546875,22.191788238510185,19.467546278954444,19.602409003712705,115629300
2009-04-22,21.510732650756836,23.02120402349911,21.119628467512488,21.335409908452977,124080300
2009-04-23,22.394084930419922,22.758217020097632,21.34889325581223,21.733254048588496,89366500
2009-04-24,22.50872230529785,23.263957300305233,21.746742693763586,22.69753041097032,117098100
2009-04-27,22.104137420654297,22.77171319742124,21.847898499915626,21.935557964859633,67832500
2009-04-28,22.110877990722656,22.737993657234856,21.76697452337448,21.81417655656848,65809900
2009-04-29,23.250473022460938,23.304419670934813,22.421062594558414,22.549182026207202,84731300
2009-04-30,22.25248146057129,23.742722783453328,22.08390205556696,23.60785874498635,94556900
2009-05-01,21.90858268737793,22.771708499850703,21.618625877440767,22.151334892897527,68254100
2009-05-04,24.133831024169922,24.26195046073103,22.18505328889274,22.29294401765943,100918400
2009-05-05,23.479736328125,24.241715861794816,23.236981604313925,23.90455709479438,63488200
2009-05-06,25.098098754882812,25.185758179846314,23.978731781830025,24.154053204074213,102644800
2009-05-07,23.762956619262695,26.10958188085416,23.419053155535526,25.96123116533908,113228400
2009-05-08,26.257936477661133,26.257936477661133,24.410306986312378,24.814896672388,110026400
2009-05-11,24.160810470581055,25.74545643312141,24.160810470581055,25.185771367379477,86808000
2009-05-12,23.8438777923584,24.45076226827481,22.96726516782251,24.437278175930278,94148900
2009-05-13,22.96051788330078,23.783186325980637,22.71102104680465,23.398825430834336,82160700
2009-05-14,23.965255737304688,24.019199824842545,22.80542827358007,23.007723103404096,68764300
2009-05-15,23.540435791015625,24.059660838688664,23.196534822982017,23.90456804351128,68301000
2009-05-18,25.125076293945312,25.185764989653887,23.73598348244356,24.079884376580225,71730900
2009-05-19,24.14732551574707,25.40829929934486,24.120352181730752,25.15205777082724,59860600
2009-05-20,23.297679901123047,24.787921648989418,23.10212711819443,24.68677552053271,77073900
2009-05-21,23.533689498901367,23.843875033298296,22.704276438182237,23.054921961885796,65068100
